District,Size m2,Rooms,Price,Price/m2
 Włochy,49.0,2,2500.0,51.02
 Ursus,37.07,2,1800.0,48.56
 Białołęka,37.0,2,2300.0,62.16
 Bielany,88.0,4,3499.0,39.76
 Wawer,130.0,3,3500.0,26.92
 Mokotów,43.0,2,2900.0,67.44
 Białołęka,35.0,2,2000.0,57.14
 Ursynów,61.0,3,2150.0,35.25
 Wola,30.0,1,1800.0,60.0
 Bielany,54.0,2,1600.0,29.63
 Żoliborz,38.0,2,2100.0,55.26
 Targówek,64.0,3,2700.0,42.19
 Ursynów,100.0,4,2000.0,20.0
 Bemowo,60.1,3,2500.0,41.6
 Białołęka,45.0,2,1850.0,41.11
 Wilanów,55.0,2,2950.0,53.64
 Ochota,50.0,2,2250.0,45.0
 Mokotów,54.0,2,1800.0,33.33
 Śródmieście,28.0,1,1350.0,48.21
 Wola,45.0,2,2300.0,51.11
 Praga-Północ,38.0,2,1500.0,39.47
 Włochy,120.0,3,2200.0,18.33
 Wola,27.0,1,1400.0,51.85
 Śródmieście,49.0,2,2700.0,55.1
 Ursynów,55.3,3,2200.0,39.78
 Bielany,23.0,1,1590.0,69.13
 Praga-Północ,30.0,2,1900.0,63.33
 Ochota,86.5,4,3900.0,45.09
 Praga-Południe,61.0,3,2600.0,42.62
 Wola,38.0,2,2300.0,60.53
 Mokotów,51.0,3,2650.0,51.96
 Mokotów,39.0,2,2300.0,58.97
 Ochota,38.0,2,2200.0,57.89
 Włochy,48.0,2,2500.0,52.08
 Praga-Południe,39.0,2,1900.0,48.72
 Bielany,50.0,2,1900.0,38.0
 Ursus,49.0,3,2000.0,40.82
 Śródmieście,25.0,1,1350.0,54.0
 Bielany,42.0,2,2000.0,47.62
 Bemowo,34.0,1,1700.0,50.0
 Mokotów,40.0,2,2300.0,57.5
 Praga-Południe,61.0,3,2600.0,42.62
 Praga-Południe,62.0,3,2500.0,40.32
 Mokotów,38.0,2,2000.0,52.63
 Wesoła,38.0,2,1950.0,51.32
 Bemowo,46.0,2,2000.0,43.48
 Ochota,59.0,3,2850.0,48.31
 Praga-Południe,51.0,2,1900.0,37.25
 Praga-Południe,61.0,3,2600.0,42.62
 Praga-Południe,62.0,3,2500.0,40.32
 Mokotów,40.0,2,1500.0,37.5
 Praga-Południe,46.0,2,2500.0,54.35
